书本名字,作者,状态,类型,点击,字数,收藏数
守护对决,泡泡雪儿,完结,都市爱情,145436,189384,106
一恋成鸳,汪汪汪,完结,都市爱情,143863,195668,292
不可控,凉久,完结,青春校园,143683,370025,559
你是我的光,雪梦城,完结,青春校园,143053,475443,412
陌上花开缓缓归,君慕倾,完结,古代言情,139800,306500,396
今夜意外降临,痴狂未戒,完结,推理破案,139701,210978,184
云深结海楼,晚乔,完结,青春校园,138915,113130,130
干了这杯小幸运,青丘山小花,完结,都市爱情,138518,200080,362
他掌心的温度,胭橙,完结,都市爱情,205579,227099,437
独家影后：BOSS今晚热搜见,咕咕鸡,完结,娱乐明星,204614,601614,174
酒很浓，你很甜,不二豆,完结,都市爱情,202407,253229,100
宝宝很乖，求表扬！,大芝,完结,都市爱情,199723,232578,306
我的今昔流年,小狗的目标,完结,都市爱情,198909,133380,154
听说你喜欢我,汪汪汪,完结,青春校园,197193,202463,1173
你口袋里有糖吗,一夜盛夏,完结,都市爱情,196018,133508,296
我的制服男神,泡泡雪儿,完结,都市爱情,195721,181180,326
当我遇见你,又绵,完结,娱乐明星,195204,218217,432
窗前白月光,青渔,完结,青春校园,193568,204316,242
眉眼所及皆是你,茉香奶绿,完结,都市爱情,269304,123507,533
满满都是我对你的爱,顾西爵,完结,都市爱情,268097,78796,1251
我依然在你身边,景行,完结,都市爱情,261808,124702,323
提灯夜行录,多多,完结,奇幻空间,261341,445136,438
拂过冬季到云来,夏茗悠,完结,青春校园,261233,165283,414
值我槐岁,薛念稚,完结,游戏竞技,257218,220224,2983
我被大佬锁死了,云星,完结,青春校园,248925,302325,763
你是我最美的光年,苏俞,完结,都市爱情,248069,278988,635
何所冬暖，何所夏凉,顾西爵,连载,都市爱情,244593,144450,904
帝星少将，来战吧,燕礼,连载,科幻未来,242630,141317,121
十年一品温如言,书海沧生,完结,都市爱情,231128,300099,1968
笙笙如我,红烧综子肉,完结,都市甜宠,230046,277772,432
为你思念成河,小酒馆,完结,职场白领,226887,643257,294
行止于南,宁九,完结,都市甜宠,224823,174013,230
和你在一起才是全世界,大柠,完结,都市爱情,221747,75982,1320
夜落慕九思,九思,完结,都市甜宠,221275,217745,245
在世界尽头遇见你,景行,完结,都市爱情,213348,144609,290
他在云之南,景行,完结,都市爱情,207067,226999,108
我还是很喜欢你,锦余,完结,都市甜宠,207041,121015,282
影帝的心尖宠,秋凉,完结,都市爱情,206101,563493,248
摆渡人 3 无境之爱,[英]克莱儿·麦克福尔,完结,外国文学,338591,134493,656
明月照笙歌,汪汪汪,完结,都市爱情,328855,235519,449
请你降落我身边,山与鹿岛,完结,都市爱情,322207,342869,534
微冉,阿拳,完结,都市甜宠,321970,218869,320
鲁丹鸟,常青,完结,都市爱情,292458,284972,17
男主又上线挖矿了,燕礼,完结,游戏竞技,291489,327509,238
谁让你过分可爱,夏沫溪溪,完结,校园甜宠,280072,203195,962
我一直在你身边,顾西爵,完结,都市爱情,278663,134370,1682
许你星年，慕你欢言,早安喵,完结,青春校园,278105,237763,509
你是我的星河璀璨,Krystal,完结,娱乐明星,270954,257194,1016
他来时有骄阳,忍冬,完结,校园甜宠,494685,237786,936
这个秘密有点甜,夏沫溪溪,完结,校园甜宠,484625,326928,650
她似奶糖,凉久,完结,校园甜宠,477614,321497,1162
十年如一，情深未远,稀饭吃土豆,完结,都市甜宠,440569,262490,473
最美遇见你,顾西爵,完结,都市爱情,430308,165759,2025
青梅味的你,曳寻,完结,青春校园,425374,182395,525
如果可以这样爱,千寻千寻,完结,都市爱情,424357,425344,239
女神饲养员,橘猫,完结,青春校园,397423,344406,962
摆渡人2 重返荒原,[英]克莱儿·麦克福尔,完结,外国文学,389383,145096,632
霸道总裁追妻路,七八九十,完结,总裁豪门,379674,1010705,237
余生还长，我只爱你,木木雨巷,完结,青春校园,713284,273929,1817
一剪成思,月轩,完结,推理破案,700371,223222,1801
轮回锁,花树熊,完结,玄幻言情,652035,287841,179
你是我的NO.1,红了容颜,完结,总裁豪门,592448,668541,1024
未言欢喜,Krystal,完结,青春校园,560004,210071,749
星星落在他头上,盛八夕,完结,校园甜宠,557331,246909,1066
蜜糖味的她,茉香奶绿,完结,校园甜宠,555563,203344,1190
他知道我的秘密,昭懿,完结,推理破案,552542,478052,2940
AWM归你，你归我,令茶,完结,游戏竞技,541161,668570,941
反常必有妖,暗暗柒,完结,都市爱情,514345,201558,501
春江花月夜,多多,完结,古代言情,1237867,235219,833
他来的那天，春风正好,青笛,连载,推理破案,1146836,189217,76
恶魔从不说谎,朽木骷髅,完结,悬疑推理,1130402,189910,70
将晚不晚,陆平生,完结,悬疑推理,1124705,150385,35
许我向你看,辛夷坞,完结,青春校园,1118497,443155,734
方圆十里,鹿酱,完结,都市爱情,1031150,408249,1806
你是我压在心底的那个人,雨落空城,完结,职场白领,948232,271761,685
他在阑珊处,燕七,完结,都市爱情,816548,193975,1301
时光有你，记忆成花,顾西爵,完结,都市爱情,752882,97578,2100
你的头号小可爱,宁萌,完结,校园甜宠,735425,172471,768
我念你如初,顾西爵,完结,都市爱情,17862534,121506,13379
南木向暖北枝寒,李依咪,完结,都市爱情,11019888,199460,5216
你是年少的欢喜,云星,完结,都市爱情,8301232,311786,7218
你的眼里有星辰,云星,完结,游戏竞技,5866832,499035,3751
破解学人精,李依咪,完结,青春校园,3741839,260521,2696
致我们终将逝去的青春,辛夷坞,完结,青春校园,3341503,277336,1082
夏威夷果不开门,李依咪,完结,青春校园,3263253,145665,3405
深渊之上,肥耳猫,完结,推理破案,3075299,306122,334
松庭疑案,燕一,完结,悬疑推理,2995921,505544,30
等风也等你,明月清萧,完结,推理破案,2990455,443320,505
抚生·孤暮朝夕,辛夷坞,完结,仙侠神话,1928105,232075,4570
秘密关系,甜栗荔枝,完结,推理破案,1844856,216410,130
同学录,书海沧生,完结,青春校园,1817380,444032,5595
云深不知处,Dendro,完结,古代言情,1775081,470999,440
医见倾心：你好，实习生,阳光暖暖,完结,职场白领,1605506,249881,2212
微风吹不走心动,迷漾,完结,都市爱情,1515054,168982,1988
往后余生都是你,大柠,完结,都市爱情,1497890,202899,3613
换你岁月静好,Dendro,完结,都市爱情,1452863,690777,532
人间告白,金鱼酱,完结,励志人生,1296923,82271,2482
驾校是他家开的,李依咪,完结,都市爱情,1247383,147547,2633
夜半三更别回头,富贵儿,完结,都市爱情,2825604,288621,16
不止一点甜,燕七,完结,都市甜宠,2809093,88157,1927
姑娘，你的98K掉了,云星,完结,游戏竞技,2763976,491493,1676
藏在打火机里的秘密,青禾,完结,推理破案,2627327,357588,649
星光下的他,褚七,完结,推理破案,2617398,217818,1802
她曾被杀,月酒酒,完结,推理破案,2486030,249131,69
他来时暖风过境,苏摩酒,完结,推理破案,2276225,220906,221
三人宴,海韵,完结,悬疑推理,2248391,267016,69
你好，头号嫌疑人,思清入骨,完结,推理破案,2145892,210989,57
妖孽请闭眼,海韵,完结,悬疑推理,2137848,221839,41
